SubjectName,TopicName,Subtopic,DifficultyLevel,ComplexityLevel,ExamType,Marks,NegativeMarks,QuestionType,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOptions,NumericalAnswer,Tags,Solution
Physics,Mechanics,Kinematics,Medium,Medium,JEE Main,4 Marks,-1 Mark,MCQ,"A ball is thrown vertically upward with a speed of 20 m/s. What is the maximum height reached? (g = 10 m/s²)","10 m","20 m","40 m","80 m",B,,,Kinematics,"Using v² = u² - 2gh; h = 20 m"
Mathematics,Calculus,Differentiation,Hard,High,JEE Advanced,4 Marks,-2 Marks,MSQ,"Which of the following functions are differentiable at x = 0?","f(x) = |x|","f(x) = x|x|","f(x) = x²","f(x) = sin(x)","B,C,D",,Calculus,
Physics,Electrostatics,Coulomb's Law,Easy,Low,JEE Main,4 Marks,-1 Mark,NAT,"The electric force between two point charges of 1 μC each separated by 1 m in vacuum is ___ × 10⁻³ N. (k = 9 × 10⁹)",,,,,,9,Electrostatics,"F = kq²/r² = 9×10⁹ × 10⁻¹² / 1 = 9×10⁻³ N"
Chemistry,Physical Chemistry,Thermodynamics,Medium,Medium,NEET,4 Marks,-1 Mark,MCQ,"Which thermodynamic quantity is a state function?","Work","Heat","Internal Energy","Both Work and Heat",C,,Thermodynamics,
Biology,Cell Biology,Cell Division,Easy,Low,NEET,4 Marks,-1 Mark,TrueFalse,"DNA replication occurs during the S phase of the cell cycle.",True,False,,,A,,Cell Division,"S-phase (Synthesis phase) is when DNA replication takes place."
Chemistry,Organic Chemistry,Hydrocarbons,Medium,Medium,JEE Main,2 Marks,No Negative,FillInBlanks,"The IUPAC name of CH₃-CH₂-OH is ___________.",Ethanol,Methanol,Propanol,Butanol,A,,Organic Chemistry,
Mathematics,Algebra,Matrices,Hard,High,JEE Advanced,4 Marks,-2 Marks,MSQ,"If A and B are symmetric matrices of the same order, which of the following are always symmetric?","A + B","AB","AB + BA","A - B","A,C,D",,Matrices,
Physics,Modern Physics,Photoelectric Effect,Medium,Medium,JEE Main,4 Marks,-1 Mark,MCQ,"In the photoelectric effect, doubling the frequency of incident light (above threshold) will:","Double the stopping potential","Double the photoelectric current","More than double the stopping potential","Have no effect on stopping potential",C,,Modern Physics,
Mathematics,Calculus,Integration,Hard,High,JEE Advanced,4 Marks,-2 Marks,NAT,"The value of ∫₀¹ x² dx is ___ (enter as decimal)",,,,,,0.3333,Integration,"∫x²dx = x³/3; from 0 to 1 = 1/3 ≈ 0.3333"
Chemistry,Inorganic Chemistry,Periodic Table,Easy,Low,Board,1 Mark,No Negative,TrueFalse,"All alkali metals react with water to produce hydrogen gas.",True,False,,,A,,Periodic Table,
