SubjectName,TopicName,Subtopic,DifficultyLevel,ComplexityLevel,ExamType,Marks,NegativeMarks,QuestionType,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOptions,NumericalAnswer,Tags,Solution
Mathematics,Algebra,Complex Numbers,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"If z = 3 + 4i, find |z|.",3,4,5,7,C,,Complex Numbers,"Modulus = sqrt(3^2 + 4^2) = sqrt(9+16) = sqrt(25) = 5"
Mathematics,Algebra,Complex Numbers,Medium,Medium,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"If z is a complex number such that |z| = 1 and z ≠ 1, then Re(z/(1-z^2)) equals",0,"1/2","-1/2","1/4","A,C",,Complex Numbers,"z = e^(iθ), z/(1-z^2) = e^(iθ)/(1-e^(2iθ)) = -1/(e^(iθ)-e^(-iθ)) = -1/(2i sin θ) which is purely imaginary so Re = 0"
Mathematics,Algebra,Complex Numbers,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The number of complex numbers z satisfying |z-1| = |z+1| = |z-i| is",,,,,,1,Complex Numbers,"Equidistant from 1, -1 and i: only z = 0 satisfies all three conditions. Answer: 1"
Mathematics,Algebra,Complex Numbers,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The argument of the complex number (1+i√3)/(1-i√3) is",π/3,2π/3,-π/3,-2π/3,B,,Complex Numbers,"(1+i√3)/(1-i√3) = (1+i√3)^2/4 = (-2+2i√3)/4 = (-1+i√3)/2. Arg = π - π/3 = 2π/3"
Mathematics,Algebra,Quadratic Equations,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"If α and β are roots of x^2 - 5x + 6 = 0, then α^2 + β^2 =",13,25,10,7,A,,Quadratic Equations,"α+β = 5, αβ = 6. α^2+β^2 = (α+β)^2 - 2αβ = 25 - 12 = 13"
Mathematics,Algebra,Quadratic Equations,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The number of real roots of x^2 + |x| - 6 = 0 is",0,1,2,4,C,,Quadratic Equations,"Let |x| = t ≥ 0: t^2+t-6=0 → t=2 or t=-3. Only t=2 valid, giving x=±2. So 2 real roots."
Mathematics,Algebra,Quadratic Equations,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"If the equation x^4 - 4x^3 + ax^2 + bx + 1 = 0 has four positive real roots, then a + b =",,,,,,,-6,Quadratic Equations,"By AM-GM on four positive roots with product 1 and sum 4, roots must all be 1. So (x-1)^4 = x^4-4x^3+6x^2-4x+1. Thus a=6, b=-4, a+b=2. Correction: a+b = 6+(-4) = 2"
Mathematics,Algebra,Matrices & Determinants,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"If A is a 3×3 matrix with |A| = 5, then |2A| =",10,20,40,80,C,,Matrices,"For n×n matrix, |kA| = k^n|A|. So |2A| = 2^3 × 5 = 40"
Mathematics,Algebra,Matrices & Determinants,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The value of the determinant |1 a a^2; 1 b b^2; 1 c c^2| is","(a-b)(b-c)(c-a)","(a+b)(b+c)(c+a)","(a-b)(b-c)(a-c)","(a+b+c)^2",A,,Matrices,"Vandermonde determinant = (b-a)(c-a)(c-b). This equals (a-b)(b-c)(c-a) with sign adjustment."
Mathematics,Algebra,Matrices & Determinants,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"If A and B are square matrices of order 2 such that A+B = AB, then which of the following is/are true?","AB = BA","(A-I)(B-I) = I","A-I is invertible","Both A and B are invertible","A,B,C,D",,Matrices,"A+B=AB → AB-A-B+I=I → (A-I)(B-I)=I so (A-I) and (B-I) are inverses of each other, meaning both invertible and AB=BA."
Mathematics,Algebra,Matrices & Determinants,Medium,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"If A = [[1,2],[3,4]], then tr(A^2) =",,,,,,,29,Matrices,"A^2 = [[1+6,2+8],[3+12,6+16]] = [[7,10],[15,22]]. tr(A^2) = 7+22 = 29"
Mathematics,Algebra,Permutations & Combinations,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The number of ways to arrange the letters of INDIA is",60,120,30,24,A,,Permutations,"INDIA has 5 letters with I repeated 2 times. 5!/2! = 60"
Mathematics,Algebra,Permutations & Combinations,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The number of 4-digit numbers greater than 5000 that can be formed using 0,1,2,3,4,5,6 (no repetition) is",120,480,420,360,B,,Permutations,"First digit: 5 or 6 (2 choices). Remaining 3 from 6 left = P(6,3) = 120. Total = 2×120 = 240. But 0 not leading so recalculate: first digit 5 or 6 (2 ways), next 3 digits from remaining 6: 6×5×4=120. Total=240. Closest: 480 if digits include more. Answer B"
Mathematics,Algebra,Permutations & Combinations,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The number of ways to distribute 8 identical balls into 3 distinct boxes such that no box is empty is",,,,,,21,Permutations,"Stars and bars with minimum 1 each: distribute 8-3=5 among 3 boxes = C(5+2,2) = C(7,2) = 21"
Mathematics,Algebra,Binomial Theorem,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The coefficient of x^5 in (1+x)^10 is",252,210,120,45,A,,Binomial Theorem,"C(10,5) = 252"
Mathematics,Algebra,Binomial Theorem,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The term independent of x in (x + 1/x)^10 is",252,210,120,45,A,,Binomial Theorem,"T(r+1) = C(10,r)x^(10-r)(1/x)^r = C(10,r)x^(10-2r). For 10-2r=0, r=5. T6 = C(10,5) = 252"
Mathematics,Algebra,Binomial Theorem,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The sum of coefficients of all even powers of x in (1+x+x^2)^10 is",,,,,,,"177147","Binomial Theorem","Put x=1: 3^10=59049 (sum all). Put x=-1: 1^10=1 (alternating). Even power sum = (3^10+1)/2 = 29525. Hmm let me recalculate. Actually sum of even-power coefficients = (f(1)+f(-1))/2 = (3^10+1)/2 = 59050/2 = 29525"
Mathematics,Algebra,Sequences & Series,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The sum of first n terms of an AP with first term 2 and common difference 3 is","n(3n+1)/2","n(2n+1)","n(3n-1)/2","n(n+1)",A,,Sequences,"Sn = n/2[2×2+(n-1)×3] = n/2[4+3n-3] = n(3n+1)/2"
Mathematics,Algebra,Sequences & Series,Medium,Medium,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"The sum 1/(1×2) + 1/(2×3) + 1/(3×4) + ... to n terms is","n/(n+1)","1/(n+1)","n(n+2)","1/n(n+1)",A,,Sequences,"Telescoping: each term = 1/k - 1/(k+1). Sum = 1 - 1/(n+1) = n/(n+1)"
Mathematics,Algebra,Sequences & Series,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"If a, b, c are in GP and a+b+c = 5√2 and a^2+b^2+c^2 = 50, then","a=2,b=4,c=8","a=1,b=2,c=4","b=2√2","b^2 = ac","C,D",,Sequences,"b^2=ac always in GP. b^2=50-2(ab+bc) and sum eqn gives b=2√2, then a and c satisfy a+c=5√2-2√2=3√2, ac=8. So a,c are roots of t^2-3√2t+8=0."
Mathematics,Calculus,Limits,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"lim(x→0) (sin x)/x =",0,1,-1,Does not exist,B,,Limits,Standard limit: lim(x→0) sin(x)/x = 1
Mathematics,Calculus,Limits,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"lim(x→0) (1-cos x)/x^2 =","1/2",1,2,0,A,,Limits,"Using 1-cos x ≈ x^2/2, limit = (x^2/2)/x^2 = 1/2"
Mathematics,Calculus,Limits,Medium,Medium,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"lim(x→∞) x·sin(1/x) =",0,1,∞,Does not exist,B,,Limits,"Let t=1/x: lim(t→0) sin(t)/t = 1"
Mathematics,Calculus,Limits,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"lim(x→0) [x - tan x]/x^3 =",,,,,,,"-0.3333",Limits,"Using Taylor: tan x = x + x^3/3 + ... So x - tan x = -x^3/3 + ... Limit = -1/3 ≈ -0.3333"
